id,Time,YITmedian,YITmean,Team,Date,Home,home,Opponent,WINorLOSS,Differenceinpoints ,Diffinrank,diffinwin,QuarteroftheSeason,DifferenceinRebounds,DifferenceinBlocks
1,1,0,0,ATL,10/29/2014,Away,1,TOR,L,-1.44,-9,13.4,1,-0.99,0.28
1,2,0,0,ATL,11/1/2014,Home,0,IND,W,5.22,-16,26.9,1,-4.29,0.06
1,3,0,0,ATL,11/5/2014,Away,1,SAS,L,-0.63,-3,6.1,1,-3.07,-0.78
1,4,1,1,ATL,11/7/2014,Away,1,CHO,L,8.39,-20,33,1,-3.5,-0.83
1,5,1,1,ATL,11/8/2014,Home,0,NYK,W,10.66,-27,52.5,1,0.2,-0.02
1,6,0,0,ATL,11/10/2014,Away,1,NYK,W,10.66,-27,52.5,1,0.2,-0.02
1,7,0,0,ATL,11/12/2014,Home,0,UTA,W,7.41,-16,26.9,1,-3.4,-1.33
1,8,1,1,ATL,11/14/2014,Home,0,MIA,W,7.87,-19,28.1,1,1.44,0.1
1,9,0,0,ATL,11/15/2014,Away,1,CLE,L,-0.59,-5,8.6,1,-2.4,0.49
1,10,1,1,ATL,11/18/2014,Home,0,LAL,L,4.1,-25,47.6,1,-3.33,0.17
1,11,0,0,ATL,11/21/2014,Home,0,DET,W,4.05,-21,34.2,1,-4.33,-0.04
1,12,1,1,ATL,11/25/2014,Away,1,WAS,W,4.01,-10,17.1,1,-4.11,0.02
1,13,1,1,ATL,11/26/2014,Home,0,TOR,L,-1.44,-9,13.4,1,-0.99,0.28
1,14,0,0,ATL,11/28/2014,Home,0,NOP,W,3.2,-11,18.3,1,-2.89,-1.59
1,15,1,1,ATL,11/29/2014,Home,0,CHO,W,8.39,-20,33,1,-3.5,-0.83
1,16,1,1,ATL,12/2/2014,Home,0,BOS,W,1.18,-14,24.4,1,-3.28,1.05
1,17,1,1,ATL,12/3/2014,Away,1,MIA,W,7.87,-19,28.1,1,1.44,0.1
1,18,0,0,ATL,12/5/2014,Away,1,BRK,W,4.52,-16,26.9,1,-1.79,0.49
1,19,0,0,ATL,12/7/2014,Home,0,DEN,W,1.09,-22,36.6,1,-4.13,0.16
1,20,1,1,ATL,12/8/2014,Away,1,IND,W,5.22,-16,26.9,1,-4.29,0.06
1,21,0,0,ATL,12/10/2014,Home,0,PHI,W,10.57,-26,51.2,2,-2.29,-1.3
1,22,0,0,ATL,12/12/2014,Home,0,ORL,W,6.85,-24,42.7,2,-1.26,0.8
1,23,0,0,ATL,12/13/2014,Away,1,ORL,L,6.85,-24,42.7,2,-1.26,0.8
1,24,0,0,ATL,12/15/2014,Home,0,CHI,W,1.76,-7,12.2,2,-5.18,-1.17
1,25,1,1,ATL,12/17/2014,Away,1,CLE,W,-0.59,-5,8.6,2,-2.4,0.49
1,26,1,1,ATL,12/20/2014,Away,1,HOU,W,-1.38,-1,4.9,2,-3.12,-0.33
1,27,1,1,ATL,12/22/2014,Away,1,DAL,W,-2.67,-7,12.2,2,-1.71,0.11
1,28,1,1,ATL,12/23/2014,Home,0,LAC,W,-4.17,-1,4.9,2,-2.06,-0.35
1,29,0,0,ATL,12/26/2014,Home,0,MIL,L,4.71,-13,23.2,2,-1.51,-0.28
1,30,0,0,ATL,12/27/2014,Away,1,MIL,W,4.71,-13,23.2,2,-1.51,-0.28
1,31,1,1,ATL,12/30/2014,Home,0,CLE,W,-0.59,-5,8.6,2,-2.4,0.49
1,32,0,0,ATL,1/2/2015,Away,1,UTA,W,7.41,-16,26.9,2,-3.4,-1.33
1,33,1,1,ATL,1/3/2015,Away,1,POR,W,-0.24,-6,11,2,-5.29,0.1
1,34,1,1,ATL,1/5/2015,Away,1,LAC,W,-4.17,-1,4.9,2,-2.06,-0.35
1,35,0,0,ATL,1/7/2015,Home,0,MEM,W,4.23,-3,6.1,2,-2,0.4
1,36,1,1,ATL,1/9/2015,Away,1,DET,W,4.05,-21,34.2,2,-4.33,-0.04
1,37,1,1,ATL,1/11/2015,Home,0,WAS,W,4.01,-10,17.1,2,-4.11,0.02
1,38,1,1,ATL,1/13/2015,Away,1,PHI,W,10.57,-26,51.2,2,-2.29,-1.3
1,39,1,1,ATL,1/14/2015,Away,1,BOS,W,1.18,-14,24.4,2,-3.28,1.05
1,40,1,1,ATL,1/16/2015,Away,1,TOR,W,-1.44,-9,13.4,2,-0.99,0.28
1,41,1,1,ATL,1/17/2015,Away,1,CHI,W,1.76,-7,12.2,2,-5.18,-1.17
1,42,0,0,ATL,1/19/2015,Home,0,DET,W,4.05,-21,34.2,3,-4.33,-0.04
1,43,1,1,ATL,1/21/2015,Home,0,IND,W,5.22,-16,26.9,3,-4.29,0.06
1,44,1,1,ATL,1/23/2015,Home,0,OKC,W,-1.4,-11,18.3,3,-6.95,-0.9
1,45,1,1,ATL,1/25/2015,Home,0,MIN,W,4.79,-28,53.7,3,-0.35,0.65
1,46,1,1,ATL,1/28/2015,Home,0,BRK,W,4.52,-16,26.9,3,-1.79,0.49
1,47,1,1,ATL,1/30/2015,Home,0,POR,W,-0.24,-6,11,3,-5.29,0.1
1,48,0,0,ATL,1/31/2015,Home,0,PHI,W,10.57,-26,51.2,3,-2.29,-1.3
1,49,0,0,ATL,2/2/2015,Away,1,NOP,L,3.2,-11,18.3,3,-2.89,-1.59
1,50,1,1,ATL,2/4/2015,Home,0,WAS,W,4.01,-10,17.1,3,-4.11,0.02
1,51,1,1,ATL,2/6/2015,Home,0,GSW,W,-7.4,1,-8.5,3,-4.16,-1.41
1,52,0,0,ATL,2/8/2015,Away,1,MEM,L,4.23,-3,6.1,3,-2,0.4
1,53,1,1,ATL,2/9/2015,Away,1,MIN,W,4.79,-28,53.7,3,-0.35,0.65
1,54,0,0,ATL,2/11/2015,Away,1,BOS,L,1.18,-14,24.4,3,-3.28,1.05
1,55,0,0,ATL,2/20/2015,Home,0,TOR,L,-1.44,-9,13.4,3,-0.99,0.28
1,56,0,0,ATL,2/22/2015,Away,1,MIL,W,4.71,-13,23.2,3,-1.51,-0.28
1,57,1,1,ATL,2/25/2015,Home,0,DAL,W,-2.67,-7,12.2,3,-1.71,0.11
1,58,0,0,ATL,2/27/2015,Home,0,ORL,W,6.85,-24,42.7,3,-1.26,0.8
1,59,0,0,ATL,2/28/2015,Away,1,MIA,W,7.87,-19,28.1,3,1.44,0.1
1,60,1,1,ATL,3/3/2015,Home,0,HOU,W,-1.38,-1,4.9,3,-3.12,-0.33
1,61,1,1,ATL,3/6/2015,Home,0,CLE,W,-0.59,-5,8.6,3,-2.4,0.49
1,62,0,0,ATL,3/7/2015,Away,1,PHI,L,10.57,-26,51.2,4,-2.29,-1.3
1,63,1,1,ATL,3/9/2015,Home,0,SAC,W,1.21,-23,37.8,4,-3.62,0.68
1,64,0,0,ATL,3/11/2015,Away,1,DEN,L,1.09,-22,36.6,4,-4.13,0.16
1,65,0,0,ATL,3/13/2015,Away,1,PHO,W,0.15,-15,25.6,4,-2.6,-0.06
1,66,0,0,ATL,3/15/2015,Away,1,LAL,W,4.1,-25,47.6,4,-3.33,0.17
1,67,1,1,ATL,3/16/2015,Away,1,SAC,W,1.21,-23,37.8,4,-3.62,0.68
1,68,0,0,ATL,3/18/2015,Away,1,GSW,L,-7.4,1,-8.5,4,-4.16,-1.41
1,69,1,1,ATL,3/20/2015,Away,1,OKC,L,-1.4,-11,18.3,4,-6.95,-0.9
1,70,0,0,ATL,3/22/2015,Home,0,SAS,L,-0.63,-3,6.1,4,-3.07,-0.78
1,71,0,0,ATL,3/25/2015,Away,1,ORL,W,6.85,-24,42.7,4,-1.26,0.8
1,72,0,0,ATL,3/27/2015,Home,0,MIA,W,7.87,-19,28.1,4,1.44,0.1
1,73,0,0,ATL,3/28/2015,Away,1,CHO,L,8.39,-20,33,4,-3.5,-0.83
1,74,0,0,ATL,3/30/2015,Home,0,MIL,W,4.71,-13,23.2,4,-1.51,-0.28
1,75,0,0,ATL,3/31/2015,Away,1,DET,L,4.05,-21,34.2,4,-4.33,-0.04
1,76,1,1,ATL,4/4/2015,Home,0,BRK,W,4.52,-16,26.9,4,-1.79,0.49
1,77,0,0,ATL,4/7/2015,Home,0,PHO,W,0.15,-15,25.6,4,-2.6,-0.06
1,78,1,1,ATL,4/8/2015,Away,1,BRK,W,4.52,-16,26.9,4,-1.79,0.49
1,79,1,1,ATL,4/10/2015,Home,0,CHO,W,8.39,-20,33,4,-3.5,-0.83
1,80,0,0,ATL,4/12/2015,Away,1,WAS,L,4.01,-10,17.1,4,-4.11,0.02
1,81,1,1,ATL,4/13/2015,Home,0,NYK,L,10.66,-27,52.5,4,0.2,-0.02
1,82,0,0,ATL,4/15/2015,Away,1,CHI,L,1.76,-7,12.2,4,-5.18,-1.17
31,1,0,0,ATL,10/27/2015,Home,0,DET,L,3.34,-2,2.5,1,1.49,-0.56
31,2,1,1,ATL,10/29/2015,Away,1,NYK,W,-2.56,13,-19.5,1,0.16,-1.38
31,3,0,0,ATL,10/30/2015,Home,0,CHO,W,-3.85,7,-12.2,1,1.57,-0.94
31,4,0,0,ATL,11/1/2015,Away,1,CHO,W,-2.62,5,-11,1,2.29,-0.77
31,5,0,0,ATL,11/3/2015,Away,1,MIA,W,4.04,-2,2.5,1,-1.01,-0.99
31,6,0,0,ATL,11/4/2015,Home,0,BRK,W,0.57,7,-12.2,1,-1.9,-2.22
31,7,1,1,ATL,11/6/2015,Away,1,NOP,W,-2.59,3,-6.1,1,-3.67,-1.95
31,8,1,1,ATL,11/7/2015,Home,0,WAS,W,-1.77,9,-15.8,1,0.88,-0.56
31,9,1,1,ATL,11/9/2015,Home,0,MIN,L,-1.04,-1,1.2,1,0.68,-1.11
31,10,1,1,ATL,11/11/2015,Home,0,NOP,W,9.39,-12,26.8,1,0.99,-2.35
31,11,0,0,ATL,11/13/2015,Away,1,BOS,L,3.05,11,-18.3,1,1.28,-0.65
31,12,0,0,ATL,11/15/2015,Home,0,UTA,L,-1.43,8,-13.4,1,-2.01,-0.95
31,13,0,0,ATL,11/17/2015,Away,1,BRK,L,0.57,7,-12.2,1,-1.9,-2.22
31,14,1,1,ATL,11/18/2015,Home,0,SAC,W,-1.82,11,-18.3,1,0.21,-1.83
31,15,0,0,ATL,11/21/2015,Away,1,CLE,L,-1.18,14,-24.4,1,3.28,-1.05
