id,time,YITmean,YITmedian,date,Shooter,points for game,Home Team,Away Team,home,differenceinranking,differenceinwin,DifferenceAVGrebounds,differenceFGATT
1,1,1,1,11/9/2016,A.J. Hammons,7,GSW,DAL,0,21,-41.5,-5.8,-3.1
1,2,0,0,11/23/2016,A.J. Hammons,0,DAL,LAC,1,17,-22,-4.4,-0.5
1,3,0,0,11/25/2016,A.J. Hammons,0,CLE,DAL,0,17,-22,-5.1,-0.3
1,4,1,1,12/3/2016,A.J. Hammons,2,DAL,CHI,1,7,-9.8,-7.7,-1.1
1,5,0,0,12/7/2016,A.J. Hammons,0,DAL,SAC,1,-1,1.2,-2.5,-0.3
1,6,1,1,12/12/2016,A.J. Hammons,3,DAL,DEN,1,4,-8.6,-7.8,-0.2
1,7,1,1,12/16/2016,A.J. Hammons,3,UTA,DAL,0,17,-22,-4.6,-1.3
1,8,0,0,12/18/2016,A.J. Hammons,0,DAL,SAC,1,-1,1.2,-2.5,-0.3
1,9,1,1,12/19/2016,A.J. Hammons,5,DEN,DAL,0,4,-8.6,-7.8,-0.2
1,10,1,1,12/30/2016,A.J. Hammons,2,GSW,DAL,0,21,-41.5,-5.8,-3.1
1,11,1,1,4/4/2017,A.J. Hammons,7,SAC,DAL,0,-1,1.2,-2.5,-0.3
1,12,0,0,4/7/2017,A.J. Hammons,0,DAL,SAS,1,20,-34.2,-5.3,-2.2
1,13,1,1,4/9/2017,A.J. Hammons,4,PHX,DAL,0,-7,10.9,-6.4,-1.2
1,14,0,0,4/11/2017,A.J. Hammons,0,DAL,DEN,1,4,-8.6,-7.8,-0.2
1,15,1,1,4/12/2017,A.J. Hammons,6,MEM,DAL,0,11,-12.2,-4.2,-0.5
2,1,1,1,11/1/2016,Aaron Brooks,7,IND,LAL,1,-15,19.5,-1.5,1.1
2,2,1,1,11/3/2016,Aaron Brooks,8,MIL,IND,0,0,0,1.6,-0.3
2,3,1,1,11/5/2016,Aaron Brooks,10,IND,CHI,1,-2,1.2,-4.3,0.2
2,4,0,0,11/7/2016,Aaron Brooks,2,CHA,IND,0,-7,7.3,-1.6,0.2
2,5,0,0,11/9/2016,Aaron Brooks,2,IND,PHI,1,-14,17.1,-0.8,-0.1
2,6,0,0,11/11/2016,Aaron Brooks,2,PHI,IND,0,-14,17.1,-0.8,-0.1
2,7,1,1,11/12/2016,Aaron Brooks,8,IND,BOS,1,9,-13.4,0,0.9
2,8,1,0,11/14/2016,Aaron Brooks,5,IND,ORL,1,-13,15.8,-1.2,0.2
2,9,1,1,11/16/2016,Aaron Brooks,9,IND,CLE,1,8,-11,-1.7,1
2,10,0,0,11/18/2016,Aaron Brooks,4,IND,PHX,1,-16,21.9,-3,0.1
2,11,1,1,11/20/2016,Aaron Brooks,10,OKL,IND,0,3,-6.1,-4.6,0
2,12,1,1,11/21/2016,Aaron Brooks,7,IND,GSW,1,12,-30.5,-2.4,-1.8
2,13,0,0,11/23/2016,Aaron Brooks,4,IND,ATL,1,2,-1.2,-2.3,0.2
2,14,1,0,11/25/2016,Aaron Brooks,5,IND,BRO,1,-17,26.8,-1.9,0.3
2,15,1,0,11/27/2016,Aaron Brooks,6,IND,LAC,1,8,-11,-1,0.8
2,16,1,1,11/30/2016,Aaron Brooks,15,POR,IND,0,-2,1.2,-1.7,0
2,17,0,0,12/4/2016,Aaron Brooks,0,LAC,IND,0,8,-11,-1,0.8
2,18,0,0,12/5/2016,Aaron Brooks,0,GSW,IND,0,12,-30.5,-2.4,-1.8
2,19,0,0,12/7/2016,Aaron Brooks,0,PHX,IND,0,-16,21.9,-3,0.1
2,20,0,0,12/9/2016,Aaron Brooks,3,DAL,IND,0,-9,11,3.4,1.3
2,21,0,0,12/10/2016,Aaron Brooks,2,IND,POR,1,-2,1.2,-1.7,0
2,22,1,0,12/12/2016,Aaron Brooks,5,IND,CHA,1,-7,7.3,-1.6,0.2
2,23,0,0,12/14/2016,Aaron Brooks,4,MIA,IND,0,-2,1.2,-1.6,-0.7
2,24,0,0,12/15/2016,Aaron Brooks,0,NOP,IND,0,-8,9.7,-1.7,-0.5
2,25,1,0,12/17/2016,Aaron Brooks,6,DET,IND,0,-6,6.1,-3.7,1.2
2,26,0,0,12/19/2016,Aaron Brooks,0,IND,WAS,1,4,-8.6,-0.9,0.9
2,27,0,0,12/20/2016,Aaron Brooks,4,NYK,IND,0,-11,13.4,-3.2,-0.5
2,28,0,0,12/22/2016,Aaron Brooks,0,IND,BOS,1,9,-13.4,0,0.9
2,29,1,1,12/26/2016,Aaron Brooks,15,CHI,IND,0,-2,1.2,-4.3,0.2
2,30,0,0,12/28/2016,Aaron Brooks,0,WAS,IND,0,4,-8.6,-0.9,0.9
2,31,1,1,12/30/2016,Aaron Brooks,8,IND,CHI,1,-2,1.2,-4.3,0.2
2,32,1,1,1/1/2017,Aaron Brooks,14,IND,ORL,1,-13,15.8,-1.2,0.2
2,33,0,0,1/3/2017,Aaron Brooks,3,DET,IND,0,-6,6.1,-3.7,1.2
2,34,1,1,1/5/2017,Aaron Brooks,9,IND,BRO,1,-17,26.8,-1.9,0.3
2,35,0,0,1/7/2017,Aaron Brooks,2,IND,NYK,1,-11,13.4,-3.2,-0.5
2,36,1,1,1/12/2017,Aaron Brooks,14,DEN,IND,0,-5,2.4,-4.4,1.1
2,37,0,0,1/16/2017,Aaron Brooks,2,IND,NOP,1,-8,9.7,-1.7,-0.5
2,38,0,0,1/18/2017,Aaron Brooks,3,SAC,IND,0,-10,12.2,0.9,1
2,39,0,0,1/20/2017,Aaron Brooks,3,LAL,IND,0,-15,19.5,-1.5,1.1
2,40,0,0,1/21/2017,Aaron Brooks,2,UTA,IND,0,8,-11,-1.2,0
2,41,0,0,1/26/2017,Aaron Brooks,0,MIN,IND,0,-11,13.4,-0.4,0.5
2,42,0,0,1/27/2017,Aaron Brooks,0,IND,SAC,1,-10,12.2,0.9,1
2,43,0,0,1/29/2017,Aaron Brooks,2,IND,HOU,1,10,-15.9,-2.4,0.7
2,44,1,0,2/3/2017,Aaron Brooks,5,BRO,IND,0,-17,26.8,-1.9,0.3
2,45,1,0,2/4/2017,Aaron Brooks,5,IND,DET,1,-6,6.1,-3.7,1.2
2,46,0,0,2/15/2017,Aaron Brooks,3,CLE,IND,0,8,-11,-1.7,1
2,47,0,0,2/24/2017,Aaron Brooks,0,IND,MEM,1,2,-1.2,-0.8,0.8
2,48,0,0,3/6/2017,Aaron Brooks,2,CHA,IND,0,-7,7.3,-1.6,0.2
2,49,1,0,3/19/2017,Aaron Brooks,5,TOR,IND,0,8,-11,-1.3,0.1
2,50,0,0,3/20/2017,Aaron Brooks,0,IND,UTA,1,8,-11,-1.2,0
2,51,0,0,3/22/2017,Aaron Brooks,2,BOS,IND,0,9,-13.4,0,0.9
2,52,1,1,3/24/2017,Aaron Brooks,11,IND,DEN,1,-5,2.4,-4.4,1.1
2,53,1,1,3/26/2017,Aaron Brooks,8,IND,PHI,1,-14,17.1,-0.8,-0.1
2,54,0,0,3/28/2017,Aaron Brooks,0,IND,MIN,1,-11,13.4,-0.4,0.5
2,55,1,1,3/29/2017,Aaron Brooks,16,MEM,IND,0,2,-1.2,-0.8,0.8
2,56,1,1,3/31/2017,Aaron Brooks,9,TOR,IND,0,8,-11,-1.3,0.1
2,57,0,0,4/2/2017,Aaron Brooks,0,CLE,IND,0,8,-11,-1.7,1
2,58,0,0,4/4/2017,Aaron Brooks,3,IND,TOR,1,8,-11,-1.3,0.1
2,59,1,1,4/6/2017,Aaron Brooks,8,IND,MIL,1,0,0,1.6,-0.3
2,60,0,0,4/8/2017,Aaron Brooks,0,ORL,IND,0,-13,15.8,-1.2,0.2
2,61,0,0,4/10/2017,Aaron Brooks,3,PHI,IND,0,-14,17.1,-0.8,-0.1
2,62,1,0,4/12/2017,Aaron Brooks,5,IND,ATL,1,2,-1.2,-2.3,0.2
3,1,1,1,10/26/2016,Aaron Gordon,12,ORL,MIA,1,11,-14.6,-0.4,-0.9
3,2,1,1,10/28/2016,Aaron Gordon,13,DET,ORL,0,7,-9.7,-2.5,1
3,3,0,0,10/29/2016,Aaron Gordon,7,CLE,ORL,0,21,-26.8,-0.5,0.8
3,4,0,0,11/1/2016,Aaron Gordon,6,PHI,ORL,0,-1,1.3,0.4,-0.3
3,5,1,1,11/3/2016,Aaron Gordon,11,ORL,SAC,1,3,-3.6,2.1,0.8
3,6,0,0,11/5/2016,Aaron Gordon,8,ORL,WAS,1,17,-24.4,0.3,0.7
3,7,1,1,11/7/2016,Aaron Gordon,13,CHI,ORL,0,11,-14.6,-3.1,0
3,8,0,0,11/9/2016,Aaron Gordon,4,ORL,MIN,1,2,-2.4,0.8,0.3
3,9,0,0,11/11/2016,Aaron Gordon,8,ORL,UTA,1,21,-26.8,0,-0.2
3,10,1,1,11/13/2016,Aaron Gordon,11,OKL,ORL,0,16,-21.9,-3.4,-0.2
3,11,1,1,11/14/2016,Aaron Gordon,11,IND,ORL,0,13,-15.8,1.2,-0.2
3,12,0,0,11/16/2016,Aaron Gordon,9,ORL,NOP,1,5,-6.1,-0.5,-0.7
3,13,0,0,11/19/2016,Aaron Gordon,5,ORL,DAL,1,4,-4.8,4.6,1.1
3,14,0,0,11/21/2016,Aaron Gordon,2,MIL,ORL,0,13,-15.8,2.8,-0.5
3,15,0,0,11/23/2016,Aaron Gordon,9,ORL,PHX,1,-3,6.1,-1.8,-0.1
3,16,0,0,11/25/2016,Aaron Gordon,9,ORL,WAS,1,17,-24.4,0.3,0.7
3,17,0,0,11/27/2016,Aaron Gordon,0,ORL,MIL,1,13,-15.8,2.8,-0.5
3,18,1,1,11/29/2016,Aaron Gordon,11,SAS,ORL,0,24,-39,-0.7,-1.1
